"Team","Coefficient"
"Slavia Praha (CZE)",52
"AZ Alkmaar (NED)",28.5
"PAOK Thessaloniki (GRE)",25
"Istanbul Basaksehir (TUR)",25
"Maccabi Tel Aviv (ISR)",24.5
"Astana (KAZ)",20.5
"Molde (NOR)",19
"Zorya Luhansk (UKR)",18
"APOEL Nicosia (CYP)",18
"FCSB (ROU)",17.5
"BATE Borisov (BLR)",17.5
"Rapid Wien (AUT)",16
"Rijeka (CRO)",15
"Royal Antwerp (BEL)",14.5
"Hapeol Be'er Sheva (ISR)",14
"Sparta Praha (CZE)",13.5
"RSC Anderlecht (BEL)",11.5
"Fehervar (HUN)",11.5
"Wolfsberg (AUT)",11
"Vitória Guimarães (POR)",10.676
"Gil Vicente (POR)",10.676
"CSKA-Sofia (BUL)",10.5
"Suduva (LTU)",10
"Twente (NED)",9.86
"Flora Tallinn (EST)",9.75
